,Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp
0,619,Airport,1.0,Trip Completed,2016-07-11 11:51:00,2016-07-11 13:00:00
1,867,Airport,1.0,Trip Completed,2016-07-11 17:57:00,2016-07-11 18:47:00
2,1807,City,1.0,Trip Completed,2016-07-12 09:17:00,2016-07-12 09:58:00
3,2532,Airport,1.0,Trip Completed,2016-07-12 21:08:00,2016-07-12 22:03:00
4,3112,City,1.0,Trip Completed,2016-07-13 08:33:16,2016-07-13 09:25:47
5,3879,Airport,1.0,Trip Completed,2016-07-13 21:57:28,2016-07-13 22:28:59
6,4270,Airport,1.0,Trip Completed,2016-07-14 06:15:32,2016-07-14 07:13:15
7,5510,Airport,1.0,Trip Completed,2016-07-15 05:11:52,2016-07-15 06:07:52
8,6248,City,1.0,Trip Completed,2016-07-15 17:57:27,2016-07-15 18:50:51
9,267,City,2.0,Trip Completed,2016-07-11 06:46:00,2016-07-11 07:25:00
10,1467,Airport,2.0,Trip Completed,2016-07-12 05:08:00,2016-07-12 06:02:00
11,1983,City,2.0,Trip Completed,2016-07-12 12:30:00,2016-07-12 12:57:00
12,2784,Airport,2.0,Trip Completed,2016-07-13 04:49:20,2016-07-13 05:23:03
13,3075,City,2.0,Trip Completed,2016-07-13 08:02:53,2016-07-13 09:16:19
14,3379,City,2.0,Trip Completed,2016-07-13 14:23:02,2016-07-13 15:35:18
15,3482,Airport,2.0,Trip Completed,2016-07-13 17:23:18,2016-07-13 18:20:51
16,4652,City,2.0,Trip Completed,2016-07-14 12:01:02,2016-07-14 12:36:46
17,5335,Airport,2.0,Trip Completed,2016-07-14 22:24:13,2016-07-14 23:18:52
18,535,Airport,3.0,Trip Completed,2016-07-11 10:00:00,2016-07-11 10:31:00
19,960,Airport,3.0,Trip Completed,2016-07-11 18:45:00,2016-07-11 19:23:00
20,1934,Airport,3.0,Trip Completed,2016-07-12 11:17:00,2016-07-12 12:23:00
21,2083,Airport,3.0,Trip Completed,2016-07-12 15:46:00,2016-07-12 16:40:00
22,2211,Airport,3.0,Trip Completed,2016-07-12 18:00:00,2016-07-12 18:28:00
23,3096,Airport,3.0,Trip Completed,2016-07-13 08:17:29,2016-07-13 09:22:37
24,3881,Airport,3.0,Trip Completed,2016-07-13 21:54:18,2016-07-13 22:51:23
25,5254,City,3.0,Trip Completed,2016-07-14 21:23:03,2016-07-14 22:25:19
26,5434,City,3.0,Trip Completed,2016-07-15 02:41:38,2016-07-15 03:24:43
27,5916,City,3.0,Trip Completed,2016-07-15 10:00:43,2016-07-15 10:53:06
28,669,City,4.0,Trip Completed,2016-07-11 13:08:00,2016-07-11 13:49:00
29,1567,Airport,4.0,Trip Completed,2016-07-12 06:21:00,2016-07-12 07:10:00
30,1826,City,4.0,Trip Completed,2016-07-12 09:27:00,2016-07-12 10:27:00
31,2102,City,4.0,Trip Completed,2016-07-12 16:09:00,2016-07-12 17:01:00
32,2847,Airport,4.0,Trip Completed,2016-07-13 05:34:20,2016-07-13 06:09:59
33,3722,Airport,4.0,Trip Completed,2016-07-13 19:57:59,2016-07-13 20:32:04
34,4075,City,4.0,Trip Completed,2016-07-14 02:17:35,2016-07-14 03:21:38
35,4686,City,4.0,Trip Completed,2016-07-14 13:01:10,2016-07-14 13:45:28
36,5771,Airport,4.0,Trip Completed,2016-07-15 08:30:06,2016-07-15 09:37:20
37,6106,Airport,4.0,Trip Completed,2016-07-15 15:01:20,2016-07-15 15:47:31
38,312,City,5.0,Trip Completed,2016-07-11 07:27:00,2016-07-11 08:31:00
39,577,Airport,5.0,Trip Completed,2016-07-11 11:03:00,2016-07-11 12:01:00
40,1179,City,5.0,Trip Completed,2016-07-11 20:58:00,2016-07-11 21:45:00
41,1756,Airport,5.0,Trip Completed,2016-07-12 08:40:00,2016-07-12 09:23:00
42,2052,City,5.0,Trip Completed,2016-07-12 14:48:00,2016-07-12 15:50:00
43,2559,City,5.0,Trip Completed,2016-07-12 21:32:00,2016-07-12 22:29:00
44,3014,City,5.0,Trip Completed,2016-07-13 07:28:14,2016-07-13 08:29:47
45,3317,City,5.0,Trip Completed,2016-07-13 12:14:27,2016-07-13 12:46:38
46,4297,City,5.0,Trip Completed,2016-07-14 06:43:01,2016-07-14 07:49:38
47,5857,Airport,5.0,Trip Completed,2016-07-15 09:08:50,2016-07-15 10:07:07
48,6690,Airport,5.0,Trip Completed,2016-07-15 22:41:41,2016-07-15 23:51:00
49,1517,Airport,6.0,Trip Completed,2016-07-12 05:45:00,2016-07-12 06:28:00
50,1999,Airport,6.0,Trip Completed,2016-07-12 13:02:00,2016-07-12 13:51:00
51,2960,Airport,6.0,Trip Completed,2016-07-13 06:50:33,2016-07-13 07:40:35
52,3882,City,6.0,Trip Completed,2016-07-13 21:53:03,2016-07-13 22:45:24
53,4081,Airport,6.0,Trip Completed,2016-07-14 02:37:14,2016-07-14 03:30:27
54,4740,City,6.0,Trip Completed,2016-07-14 14:50:07,2016-07-14 15:38:14
55,5270,City,6.0,Trip Completed,2016-07-14 21:33:55,2016-07-14 22:25:43
56,6758,Airport,6.0,Trip Completed,2016-07-15 00:03:39,2016-07-15 01:07:39
57,5741,City,6.0,Trip Completed,2016-07-15 07:52:51,2016-07-15 08:38:55
58,6087,Airport,6.0,Trip Completed,2016-07-15 14:28:50,2016-07-15 15:33:53
59,1039,City,7.0,Trip Completed,2016-07-11 19:31:00,2016-07-11 20:41:00
60,1273,Airport,7.0,Trip Completed,2016-07-11 22:07:00,2016-07-11 23:12:00
61,2480,City,7.0,Trip Completed,2016-07-12 20:39:00,2016-07-12 21:28:00
62,4105,City,7.0,Trip Completed,2016-07-14 03:39:38,2016-07-14 04:39:04
63,4509,City,7.0,Trip Completed,2016-07-14 09:11:13,2016-07-14 10:17:01
64,4986,Airport,7.0,Trip Completed,2016-07-14 18:52:32,2016-07-14 19:50:57
